original,augmented,label,technique
These women are stupid,These females lack intelligence.,1,prompt_llm
These women are stupid,The intelligence level of these women is low.,1,prompt_llm
These women are stupid,These woman ar stupid,1,synonym
These women are stupid,These women aresstupid,1,noise
These women mad,The women are acting irrationally.,1,prompt_llm
These women mad,These females are behaving in a strange manner.,1,prompt_llm
These women mad,These woman huffy,1,synonym
These women mad,These owmen  mad,1,noise
These women seem dim-witted,These women appear to lack intelligence.,1,prompt_llm
These women seem dim-witted,The women give the impression of being unintelligent.,1,prompt_llm
These women seem dim-witted,These woman look dim-witted,1,synonym
These women seem dim-witted,These womeen seeem dim-witted,1,noise
These women are good,The women exhibit excellence.,0,prompt_llm
These women are good,These ladies demonstrate proficiency.,0,prompt_llm
These women are good,These adult female ar good,0,synonym
These women are good,hTese women  are good,0,noise
